sector,automation_risk,volatility,growth_outlook,saturation
technology,0.25,0.45,0.85,0.55
healthcare,0.15,0.20,0.80,0.35
finance,0.40,0.50,0.60,0.60
manufacturing,0.65,0.40,0.35,0.70
retail,0.70,0.35,0.25,0.80
education,0.30,0.15,0.55,0.45
government,0.25,0.10,0.40,0.30
construction,0.35,0.50,0.50,0.55
hospitality,0.50,0.60,0.45,0.65
media,0.55,0.55,0.40,0.70
legal,0.35,0.25,0.45,0.50
consulting,0.30,0.40,0.65,0.55
marketing,0.45,0.45,0.55,0.60
logistics,0.55,0.35,0.50,0.55
energy,0.40,0.50,0.55,0.45
agriculture,0.45,0.40,0.35,0.40
general,0.40,0.35,0.50,0.50
